mode,min_samples,convention,seed,swing_ari,swing_instability,swing_n,ari_vs_truth,n_eval,noise,clusters
title_artist,15,exclude,1002,0.9996363967226856,0.0003636032773144393,1125,0.6183251528891814,172,0.5987633115767778,15
title_artist,15,single_cluster,1002,0.9495008963583972,0.050499103641602816,2911,0.04831440334991972,437,0.5987633115767778,15
title_artist,15,singletons,1002,0.9422817117545333,0.057718288245466653,2911,0.3210744902199495,437,0.5987633115767778,15
title_artist,15,exclude,1003,0.9996315818163544,0.0003684181836456357,1131,0.634171342469493,168,0.6090690484369632,15
title_artist,15,single_cluster,1003,0.9895924214125017,0.0104075785874983,2911,0.045620670999576535,437,0.6090690484369632,15
title_artist,15,singletons,1003,0.9936141821903857,0.006385817809614336,2911,0.32367882973944406,437,0.6090690484369632,15
title_artist,15,exclude,1004,1.0,0.0,1115,0.6112188393790337,166,0.6149089659910684,15
title_artist,15,single_cluster,1004,0.9735435254003997,0.02645647459960032,2911,0.03917046187203225,437,0.6149089659910684,15
title_artist,15,singletons,1004,0.9771268714408841,0.02287312855911594,2911,0.29795089995860674,437,0.6149089659910684,15
title_artist,15,exclude,1005,0.9996312400381537,0.0003687599618462656,1132,0.6227317027653918,168,0.6083819993129509,15
title_artist,15,single_cluster,1005,0.9885328540042634,0.011467145995736616,2911,0.04334332550891119,438,0.6083819993129509,15
title_artist,15,singletons,1005,0.9921681419907902,0.007831858009209824,2911,0.31377349940015187,438,0.6083819993129509,15
title_artist,15,exclude,1006,1.0,0.0,1127,0.6341485656749756,168,0.6111301958090003,15
title_artist,15,single_cluster,1006,0.9878207508210105,0.012179249178989493,2911,0.04658623603886828,438,0.6111301958090003,15
title_artist,15,singletons,1006,0.9933643209394645,0.0066356790605355265,2911,0.3228544591136291,438,0.6111301958090003,15
title_artist,15,exclude,1007,1.0,0.0,1130,0.623918924759209,167,0.6083819993129509,15
title_artist,15,single_cluster,1007,0.9839965461639536,0.0160034538360464,2911,0.042971321354037535,437,0.6083819993129509,15
title_artist,15,singletons,1007,0.9905815197224097,0.009418480277590291,2911,0.3099403670182353,437,0.6083819993129509,15
title_artist,15,exclude,1008,0.9996259291668796,0.0003740708331203546,1126,0.635028465862113,169,0.610443146684988,15
title_artist,15,single_cluster,1008,0.9846808806001398,0.015319119399860193,2911,0.047183934378360035,437,0.610443146684988,15
title_artist,15,singletons,1008,0.9892615885762844,0.010738411423715566,2911,0.3235117121760001,437,0.610443146684988,15
title_artist,15,exclude,1009,1.0,0.0,1118,0.6116120441225334,164,0.6149089659910684,15
title_artist,15,single_cluster,1009,0.9800573560296857,0.01994264397031431,2911,0.03657503202933236,438,0.6149089659910684,15
title_artist,15,singletons,1009,0.9805536555593223,0.01944634444067772,2911,0.2913292037292349,438,0.6149089659910684,15
title_artist,15,exclude,1010,1.0,0.0,1135,0.6343420098450392,168,0.608725523874957,15
title_artist,15,single_cluster,1010,0.9933068160739857,0.006693183926014257,2911,0.04636290886384488,437,0.608725523874957,15
title_artist,15,singletons,1010,0.9954437473575735,0.004556252642426539,2911,0.32419830449964293,437,0.608725523874957,15
title_artist,15,exclude,1011,1.0,0.0,1126,0.6382907952512925,167,0.6114737203710066,15
title_artist,15,single_cluster,1011,0.9879921250603108,0.012007874939689245,2911,0.04429217819741901,438,0.6114737203710066,15
title_artist,15,singletons,1011,0.9946475964366472,0.005352403563352759,2911,0.32222729234948905,438,0.6114737203710066,15
title_artist,15,exclude,1012,1.0,0.0,1128,0.623918924759209,167,0.6114737203710066,15
title_artist,15,single_cluster,1012,0.9903447284247389,0.009655271575261137,2911,0.042329716021886045,437,0.6114737203710066,15
title_artist,15,singletons,1012,0.9927331757429457,0.007266824257054272,2911,0.30746213109559556,437,0.6114737203710066,15
title_artist,15,exclude,1013,1.0,0.0,1128,0.635028465862113,169,0.6094125729989694,15
title_artist,15,single_cluster,1013,0.9849642096255876,0.015035790374412383,2911,0.04671034234495457,438,0.6094125729989694,15
title_artist,15,singletons,1013,0.9913148686657769,0.008685131334223106,2911,0.32345517255546996,438,0.6094125729989694,15
title_artist,15,exclude,1014,0.9996332157803112,0.00036678421968883157,1135,0.635028465862113,169,0.6080384747509447,15
title_artist,15,single_cluster,1014,0.9913703592553025,0.00862964074469752,2911,0.04671034234495457,438,0.6080384747509447,15
title_artist,15,singletons,1014,0.99396179798656,0.006038202013439964,2911,0.32345517255546996,438,0.6080384747509447,15
title_artist,15,exclude,1015,1.0,0.0,1123,0.6052038905540297,167,0.6090690484369632,15
title_artist,15,single_cluster,1015,0.9733976365906256,0.026602363409374385,2911,0.039292094095525545,437,0.6090690484369632,15
title_artist,15,singletons,1015,0.9756281030579506,0.024371896942049442,2911,0.2973125953086361,437,0.6090690484369632,15
title_artist,15,exclude,1016,1.0,0.0,1120,0.624276388563636,165,0.6138783923050498,15
title_artist,15,single_cluster,1016,0.9820369894031089,0.017963010596891094,2911,0.040547389116751806,435,0.6138783923050498,15
title_artist,15,singletons,1016,0.9890821568096625,0.010917843190337506,2911,0.3034677633474973,435,0.6138783923050498,15
title_artist,15,exclude,1017,0.9996272435566859,0.00037275644331413726,1126,0.6463105215222269,169,0.608725523874957,15
title_artist,15,single_cluster,1017,0.9782917444941306,0.02170825550586941,2911,0.04872013040425417,438,0.608725523874957,15
title_artist,15,singletons,1017,0.9802301856414867,0.019769814358513327,2911,0.33329545493360907,438,0.608725523874957,15
title_artist,15,exclude,1018,0.9996340594120627,0.0003659405879372635,1128,0.6081961652063944,166,0.6100996221229817,15
title_artist,15,single_cluster,1018,0.9855784061185491,0.014421593881450923,2911,0.03843487394825326,438,0.6100996221229817,15
title_artist,15,singletons,1018,0.9895495309117984,0.010450469088201575,2911,0.29919085990116184,438,0.6100996221229817,15
title_artist,15,exclude,1019,1.0,0.0,1108,0.6333846504609982,166,0.618000687049124,14
title_artist,15,single_cluster,1019,0.9702182780787988,0.02978172192120121,2911,0.04417993688049199,436,0.618000687049124,14
title_artist,15,singletons,1019,0.9783369404156762,0.021663059584323796,2911,0.3252173509609849,436,0.618000687049124,14
title,2,exclude,1000,0.8901369839164291,0.10986301608357085,1071,0.6057309914609829,155,0.6255582274132601,32
title,2,single_cluster,1000,0.7562809566429339,0.24371904335706607,2911,0.022671417195131244,436,0.6255582274132601,32
title,2,singletons,1000,0.7126299670391459,0.28737003296085406,2911,0.23716843365013798,436,0.6255582274132601,32
title,2,exclude,1001,0.9080483331607351,0.09195166683926492,1090,0.588157999144558,150,0.6231535554792168,34
title,2,single_cluster,1001,0.7838225848737876,0.21617741512621236,2911,0.017674343620531812,435,0.6231535554792168,34
title,2,singletons,1001,0.6993666625599888,0.3006333374400112,2911,0.21487601506332069,435,0.6231535554792168,34
